participant_id,eval_case_id,repeat_index,policy_sampling_seed,target_xy_error,termination_reason,video_path
CB10,7,1,20360878,0.004982,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_07_repeat_1_execution_0.mp4
CB09,9,1,20350898,0.005245,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB09/videos/case_09_repeat_1_execution_0.mp4
CB06,8,1,20320888,0.00587,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_08_repeat_1_execution_0.mp4
CB06,3,0,20320837,0.00786,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_03_repeat_0_execution_0.mp4
CB03,8,1,20290888,0.008068,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_08_repeat_1_execution_0.mp4
CB03,1,1,20290818,0.008769,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_01_repeat_1_execution_0.mp4
CB03,8,0,20290887,0.009104,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_08_repeat_0_execution_0.mp4
CB05,4,0,20310847,0.009717,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_04_repeat_0_execution_0.mp4
CB10,1,1,20360818,0.011411,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_01_repeat_1_execution_0.mp4
CB01,4,1,20270848,0.012354,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_04_repeat_1_execution_0.mp4
CB01,6,0,20270867,0.01302,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_06_repeat_0_execution_0.mp4
CB04,5,0,20300857,0.013224,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB04/videos/case_05_repeat_0_execution_0.mp4
CB09,7,0,20350877,0.014376,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB09/videos/case_07_repeat_0_execution_0.mp4
CB04,3,1,20300838,0.014453,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB04/videos/case_03_repeat_1_execution_0.mp4
CB03,7,0,20290877,0.014834,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_07_repeat_0_execution_0.mp4
CB01,9,1,20270898,0.015488,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_09_repeat_1_execution_0.mp4
CB05,1,1,20310818,0.016612,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_01_repeat_1_execution_0.mp4
CB04,8,0,20300887,0.019985,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB04/videos/case_08_repeat_0_execution_0.mp4
