participant_id,n_L,n_R,n_indeterminate,p_L_all_20,p_R_all_20,p_indeterminate_all_20,success_L,success_R,success_indeterminate,success_rate_L,success_rate_R,success_rate_indeterminate,success_total,overall_success_rate,p_L_minus_0p5,absolute_L_deviation_from_0p5,observed_complete_mode_collapse
B01,4,10,6,0.2,0.5,0.3,1,5,0,0.25,0.5,0.0,6,0.3,-0.3,0.3,False
B02,2,15,3,0.1,0.75,0.15,0,11,0,0.0,0.733333,0.0,11,0.55,-0.4,0.4,False
B03,1,15,4,0.05,0.75,0.2,0,11,0,0.0,0.733333,0.0,11,0.55,-0.45,0.45,False
B04,1,15,4,0.05,0.75,0.2,0,5,0,0.0,0.333333,0.0,5,0.25,-0.45,0.45,False
B05,7,9,4,0.35,0.45,0.2,2,4,0,0.285714,0.444444,0.0,6,0.3,-0.15,0.15,False
B06,4,11,5,0.2,0.55,0.25,2,2,0,0.5,0.181818,0.0,4,0.2,-0.3,0.3,False
B07,8,7,5,0.4,0.35,0.25,6,1,0,0.75,0.142857,0.0,7,0.35,-0.1,0.1,False
B08,5,13,2,0.25,0.65,0.1,2,4,0,0.4,0.307692,0.0,6,0.3,-0.25,0.25,False
B09,5,11,4,0.25,0.55,0.2,4,7,0,0.8,0.636364,0.0,11,0.55,-0.25,0.25,False
B10,7,9,4,0.35,0.45,0.2,3,3,0,0.428571,0.333333,0.0,6,0.3,-0.15,0.15,False
