participant_id,eval_case_id,repeat_index,policy_sampling_seed,realised_route,success,success_within_route,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,minimum_box_cylinder_xy_distance,checkpoint_sha256,config_sha256,paired_manifest_sha256,video_path
B01,0,0,20270807,indeterminate,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,4.354202,89.999999,0.301409,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_00_repeat_0_execution_0.mp4
B01,0,1,20270808,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,2.398994,0.000331,0.301409,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_00_repeat_1_execution_0.mp4
B01,1,0,20270817,R,1,1,success,success,,0.024495,5.7e-05,0.161545,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_01_repeat_0_execution_0.mp4
B01,1,1,20270818,R,1,1,success,success,,0.037254,7e-05,0.136939,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_01_repeat_1_execution_0.mp4
B01,2,0,20270827,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,4.131382,0.000367,0.279975,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_02_repeat_0_execution_0.mp4
B01,2,1,20270828,indeterminate,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,6.424329,90.000011,0.279975,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_02_repeat_1_execution_0.mp4
B01,3,0,20270837,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.490118,89.999971,0.137054,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_03_repeat_0_execution_0.mp4
B01,3,1,20270838,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.517721,90.000054,0.165016,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_03_repeat_1_execution_0.mp4
B01,4,0,20270847,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.048662,90.000006,0.080682,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_04_repeat_0_execution_0.mp4
B01,4,1,20270848,L,1,1,success,success,,0.030137,0.000334,0.176674,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_04_repeat_1_execution_0.mp4
