participant_id,n_L,n_R,n_indeterminate,p_L_all_20,p_R_all_20,p_indeterminate_all_20,p_L_minus_0p5,absolute_L_deviation_from_0p5,observed_complete_mode_collapse
B01,4,10,6,0.2,0.5,0.3,-0.3,0.3,False
B02,2,15,3,0.1,0.75,0.15,-0.4,0.4,False
B03,1,15,4,0.05,0.75,0.2,-0.45,0.45,False
B04,1,15,4,0.05,0.75,0.2,-0.45,0.45,False
B05,7,9,4,0.35,0.45,0.2,-0.15,0.15,False
B06,4,11,5,0.2,0.55,0.25,-0.3,0.3,False
B07,8,7,5,0.4,0.35,0.25,-0.1,0.1,False
B08,5,13,2,0.25,0.65,0.1,-0.25,0.25,False
B09,5,11,4,0.25,0.55,0.2,-0.25,0.25,False
B10,7,9,4,0.35,0.45,0.2,-0.15,0.15,False
