control_bimodal_participant,bimodal_participant,p_L_all_20_difference,p_R_all_20_difference,p_indeterminate_all_20_difference,success_rate_L_difference,success_rate_R_difference,control_bimodal_overall_success_rate,bimodal_overall_success_rate,overall_success_rate_difference,control_bimodal_primary_failures_json,bimodal_primary_failures_json,primary_failure_count_differences_json
CB01,B01,0.1,0.05,-0.15,0.083333,0.227273,0.5,0.3,0.2,"{""cylinder_topple"": 6, ""target_miss"": 4}","{""cylinder_topple"": 10, ""target_miss"": 4}","{""cylinder_topple"": -4, ""target_miss"": 0}"
CB02,B02,0.25,-0.3,0.05,1.0,-0.733333,0.35,0.55,-0.2,"{""cylinder_topple"": 9, ""target_miss"": 4}","{""cylinder_topple"": 4, ""target_miss"": 5}","{""cylinder_topple"": 5, ""target_miss"": -1}"
CB03,B03,0.2,-0.1,-0.1,0.2,-0.194871,0.4,0.55,-0.15,"{""cylinder_topple"": 8, ""target_miss"": 4}","{""cylinder_topple"": 8, ""target_miss"": 1}","{""cylinder_topple"": 0, ""target_miss"": 3}"
CB04,B04,0.1,-0.05,-0.05,0.0,0.02381,0.25,0.25,0.0,"{""cylinder_topple"": 13, ""target_miss"": 2}","{""cylinder_topple"": 8, ""target_miss"": 7}","{""cylinder_topple"": 5, ""target_miss"": -5}"
CB05,B05,-0.1,0.1,0.0,-0.085714,0.19192,0.4,0.3,0.1,"{""cylinder_topple"": 10, ""target_miss"": 2}","{""cylinder_topple"": 11, ""target_miss"": 3}","{""cylinder_topple"": -1, ""target_miss"": -1}"
CB06,B06,-0.15,0.2,-0.05,-0.5,0.351515,0.4,0.2,0.2,"{""cylinder_topple"": 8, ""target_miss"": 4}","{""cylinder_topple"": 13, ""target_miss"": 3}","{""cylinder_topple"": -5, ""target_miss"": 1}"
CB07,B07,-0.1,0.2,-0.1,-0.583333,-0.051948,0.1,0.35,-0.25,"{""cylinder_topple"": 15, ""target_miss"": 3}","{""cylinder_topple"": 8, ""target_miss"": 5}","{""cylinder_topple"": 7, ""target_miss"": -2}"
CB08,B08,0.1,-0.2,0.1,0.314286,-0.08547,0.35,0.3,0.05,"{""cylinder_topple"": 9, ""target_miss"": 4}","{""cylinder_topple"": 10, ""target_miss"": 4}","{""cylinder_topple"": -1, ""target_miss"": 0}"
CB09,B09,0.05,-0.05,0.0,-0.3,-0.336364,0.3,0.55,-0.25,"{""cylinder_topple"": 12, ""target_miss"": 2}","{""cylinder_topple"": 5, ""target_miss"": 4}","{""cylinder_topple"": 7, ""target_miss"": -2}"
CB10,B10,-0.15,0.15,0.0,0.071429,0.166667,0.4,0.3,0.1,"{""cylinder_topple"": 10, ""target_miss"": 2}","{""cylinder_topple"": 11, ""target_miss"": 3}","{""cylinder_topple"": -1, ""target_miss"": -1}"
