participant_id,n_L,n_R,n_indeterminate,p_L_all_20,p_R_all_20,p_indeterminate_all_20,success_L,success_R,success_indeterminate,success_rate_L,success_rate_R,success_rate_indeterminate,success_total,overall_success_rate,p_L_minus_0p5,absolute_L_deviation_from_0p5,observed_complete_mode_collapse
CB01,6,11,3,0.3,0.55,0.15,2,8,0,0.333333,0.727273,0.0,10,0.5,-0.2,0.2,False
CB02,7,9,4,0.35,0.45,0.2,7,0,0,1.0,0.0,0.0,7,0.35,-0.15,0.15,False
CB03,5,13,2,0.25,0.65,0.1,1,7,0,0.2,0.538462,0.0,8,0.4,-0.25,0.25,False
CB04,3,14,3,0.15,0.7,0.15,0,5,0,0.0,0.357143,0.0,5,0.25,-0.35,0.35,False
CB05,5,11,4,0.25,0.55,0.2,1,7,0,0.2,0.636364,0.0,8,0.4,-0.25,0.25,False
CB06,1,15,4,0.05,0.75,0.2,0,8,0,0.0,0.533333,0.0,8,0.4,-0.45,0.45,False
CB07,6,11,3,0.3,0.55,0.15,1,1,0,0.166667,0.090909,0.0,2,0.1,-0.2,0.2,False
CB08,7,9,4,0.35,0.45,0.2,5,2,0,0.714286,0.222222,0.0,7,0.35,-0.15,0.15,False
CB09,6,10,4,0.3,0.5,0.2,3,3,0,0.5,0.3,0.0,6,0.3,-0.2,0.2,False
CB10,4,12,4,0.2,0.6,0.2,2,6,0,0.5,0.5,0.0,8,0.4,-0.3,0.3,False
