participant_id,eval_case_id,repeat_index,policy_sampling_seed,realised_route,success,success_within_route,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,minimum_box_cylinder_xy_distance,checkpoint_sha256,config_sha256,paired_manifest_sha256,video_path
CB01,0,0,20270807,L,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.431953,89.999999,0.228607,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_00_repeat_0_execution_0.mp4
CB01,0,1,20270808,indeterminate,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.234938,89.99999,0.176684,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_00_repeat_1_execution_0.mp4
CB01,1,0,20270817,R,1,1,success,success,,0.020993,4.2e-05,0.189776,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_01_repeat_0_execution_0.mp4
CB01,1,1,20270818,R,1,1,success,success,,0.052503,5.1e-05,0.153272,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_01_repeat_1_execution_0.mp4
CB01,2,0,20270827,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,4.860916,0.000216,0.279975,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_02_repeat_0_execution_0.mp4
CB01,2,1,20270828,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.408026,0.000239,0.279975,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_02_repeat_1_execution_0.mp4
CB01,3,0,20270837,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.029122,90.0,0.131566,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_03_repeat_0_execution_0.mp4
CB01,3,1,20270838,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.031223,90.0,0.150304,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_03_repeat_1_execution_0.mp4
CB01,4,0,20270847,R,1,1,success,success,,0.064562,0.000331,0.11668,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_04_repeat_0_execution_0.mp4
CB01,4,1,20270848,R,1,1,success,success,,0.012354,1.3e-05,0.095598,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_04_repeat_1_execution_0.mp4
CB01,5,0,20270857,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.948439,0.000355,0.369469,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_05_repeat_0_execution_0.mp4
CB01,5,1,20270858,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.314986,9.7e-05,0.087361,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_05_repeat_1_execution_0.mp4
CB01,6,0,20270867,R,1,1,success,success,,0.01302,0.000333,0.135437,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_06_repeat_0_execution_0.mp4
CB01,6,1,20270868,L,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.752166,90.000096,0.122509,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_06_repeat_1_execution_0.mp4
CB01,7,0,20270877,R,1,1,success,success,,0.050177,7e-05,0.153073,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_07_repeat_0_execution_0.mp4
CB01,7,1,20270878,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,6.511084,90.000065,0.10862,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_07_repeat_1_execution_0.mp4
