participant_id,n_L,n_R,n_indeterminate,p_L_all_20,p_R_all_20,p_indeterminate_all_20,p_L_minus_0p5,absolute_L_deviation_from_0p5,observed_complete_mode_collapse
CB01,6,11,3,0.3,0.55,0.15,-0.2,0.2,False
CB02,7,9,4,0.35,0.45,0.2,-0.15,0.15,False
CB03,5,13,2,0.25,0.65,0.1,-0.25,0.25,False
CB04,3,14,3,0.15,0.7,0.15,-0.35,0.35,False
CB05,5,11,4,0.25,0.55,0.2,-0.25,0.25,False
CB06,1,15,4,0.05,0.75,0.2,-0.45,0.45,False
CB07,6,11,3,0.3,0.55,0.15,-0.2,0.2,False
CB08,7,9,4,0.35,0.45,0.2,-0.15,0.15,False
CB09,6,10,4,0.3,0.5,0.2,-0.2,0.2,False
CB10,4,12,4,0.2,0.6,0.2,-0.3,0.3,False
