participant_id,participant_route,eval_case_id,success,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,maximum_cylinder_tilt_degrees,box_obstacle_contact_steps,robot_obstacle_contact_steps,realised_route,minimum_box_cylinder_xy_distance,checkpoint_sha256,paired_manifest_sha256,video_path
C01,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,3.194804,0.000261,0.000495,0,0,indeterminate,0.301409,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_00_execution_0.mp4
C01,L,1,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.018502,90.0,90.065598,60,10769,L,0.092209,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_01_execution_0.mp4
C01,L,2,0,policy_timeout,target_miss,policy_timeout;target_miss,0.501593,0.000323,0.000495,0,0,L,0.279975,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_02_execution_0.mp4
C01,L,3,1,success,success,,0.006048,0.0,0.000333,0,0,L,0.148065,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_03_execution_0.mp4
C01,L,4,1,success,success,,0.032241,0.000366,0.000366,0,0,L,0.198715,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_04_execution_0.mp4
C01,L,5,1,success,success,,0.008291,0.000205,0.000366,0,0,L,0.179354,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_05_execution_0.mp4
C01,L,6,0,policy_timeout,target_miss,policy_timeout;target_miss,0.273741,0.000311,0.000334,0,0,L,0.18148,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_06_execution_0.mp4
C01,L,7,1,success,success,,0.012396,0.0,0.00032,0,0,L,0.120849,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_07_execution_0.mp4
C01,L,8,1,success,success,,0.037669,0.000343,0.000343,0,0,L,0.211705,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_08_execution_0.mp4
C01,L,9,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.349198,90.0,90.102763,122,10552,L,0.122798,3d7061912ad1e829e949ec6e2447bb225d9c41572b73c80abacf884f32c9ba98,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_group/policy_rollouts/C01/videos/case_09_execution_0.mp4
