participant_id,participant_route,eval_case_id,success,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,maximum_cylinder_tilt_degrees,box_obstacle_contact_steps,robot_obstacle_contact_steps,realised_route,crossed_obstacle_y_band,minimum_box_cylinder_xy_distance,checkpoint_sha256,paired_manifest_sha256,video_path
T01,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,1.719478,0.000392,0.000495,0,0,indeterminate,0,0.301409,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_00_execution_0.mp4
T01,L,1,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,1.716182,89.999997,107.645271,0,1,L,1,0.097267,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_01_execution_0.mp4
T01,L,2,0,policy_timeout,target_miss,policy_timeout;target_miss,0.468157,0.000342,0.000495,0,0,L,1,0.279975,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_02_execution_0.mp4
T01,L,3,1,success,success,,0.013718,0.000313,0.000369,0,0,L,1,0.134728,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_03_execution_0.mp4
T01,L,4,1,success,success,,0.073255,0.000368,0.000373,0,0,L,1,0.210032,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_04_execution_0.mp4
T01,L,5,1,success,success,,0.06346,0.000237,0.000368,0,0,L,1,0.211332,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_05_execution_0.mp4
T01,L,6,1,success,success,,0.081147,1.2e-05,0.000373,0,0,L,1,0.173271,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_06_execution_0.mp4
T01,L,7,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.147159,89.999982,90.09874,0,3,L,1,0.130656,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_07_execution_0.mp4
T01,L,8,1,success,success,,0.021729,0.000249,0.000495,0,0,L,1,0.207007,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_08_execution_0.mp4
T01,L,9,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.046763,89.999989,90.041325,0,3,L,1,0.08287,af509e1c607c5d6feee8dbf924b596d7799b7b183176477a84c0d2417ac33234,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_target_group/policy_rollouts/T01/videos/case_09_execution_0.mp4
